embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
23087	MISC	Caracteres	Caracteres	Caracteres	
23101	PER	Maestro	Maestro	Maestro	
23119,23120	PER	del Prado	del Prado	del Prado	
23123,23124,23125	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
23178	LOC	Villamil	Villamil	Villamil	
23180,23181	LOC	San Juan	San Juan	San Juan	
23194,23195	MISC	Mocal Paternes	Mocal Paternes	Mocal Paternes	
23234	PER	Pederico	Pederico	Federico	
23238,23239,23240,23241	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
23253,23254	MISC	Georgettes Foulards	Georgettes Foulards	Georgettes Foulards	
23263	LOC	China	China	China	
23268	MISC	Ginghams	Ginghams	Ginghams	
23286,23287	MISC	Azul Copenhague	Azul Copenhague	Azul Copenhague	
23415,23416,23417	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
23421,23422,23423	PER	E . Isern	E. Isern	E. Isern	
23428,23429	PER	F. Isern	E. Isern	E. Isern	
23444,23445	LOC	Calle Nueva	Calle Nueva	Calle Nueva	
23447	LOC	Humaca	Humaca	Humaca	
23450,23451	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
