embedding	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
16193	LOC	Orleans	Orleans	Orleans	
16212	PER	Lucoan	Lucoan	Lucano	Q188646
16639,16640,16641,16642	LOC	iglesia de San Agustin	iglesia de San Agustin	iglesia de San Agustin	
16711,16712,16713,16714,16715,16716,16717	ORG	Comité de Señoritas del Club Escolar Tayabense	Comité de Señoritas del Club Escolar Tayabense	Comité de Señoritas del Club Escolar Tayabense	
16826	LOC	Manila	Manila	Manila	
16834	LOC	FILIPINAS	Filipinas	Filipinas	
16877,16878	ORG	BINGHAM CO	BINGHAM CO	Bingham Co	
16886,16887,16888	LOC	STA . CRUZ	Plaza de Santa Cruz	Plaza de Santa Cruz	
16890	LOC	MAYNILA	Manila	Manila	
17335	MISC	Verdad	Verdad	Verdad	
17406	MISC	Bien	Bien	Bien	
17410	MISC	Equidad	Equidad	Equidad	
17434,17435,17436	PER	Edmudo de Amicis	Edmudo de Amicis	Edmudo de Amicis	
17467	PER	Francisquillo	Francisquillo	Francisquillo	
17696,17697,17698,17699	LOC	Plaza de Santa Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
17761	LOC	FILIPINAS	Filipinas	Filipinas	
17847,17848	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
17859	LOC	FILIPINAS	Filipinas	Filipinas	
17865,17866	PER	FRANCISCA GESMUNDO	Francisca Gesmundo	Francisca Gesmundo	
17875	LOC	Manila	Manila	Manila	
17901	LOC	Manila	Manila	Manila	
18438	PER	Dios	Dios	Dios	Q190
18608	MISC	FILIPINAS	Filipinas	Filipinas	
18623,18624,18625,18626	MISC	LA PUERTA DE SOL	Puerta del Sol	Puerta del Sol	
19262	PER	Dios	Dios	Dios	Q190
19428	PER	Tansiang	Tansiang	Tansiang	
19519	PER	TANSIANG	Tansiang	Tansiang	
19544,19545	LOC	LA ESPERANZA	La Esperanza	La Esperanza	
19548	LOC	FILIPINAS	Filipinas	Filipinas	
19568	ORG	Libertas	Libertas	Libertas	
19580	LOC	Roma	Roma	Roma	
19582	LOC	Napoles	Napoles	Napoles	
19584	LOC	Milan	Milan	Milan	
19586	LOC	París	París	París	
19588,19589	LOC	Buenos Aires	Buenos Aires	Buenos Aires	
19593,19594,19595	PER	Francisco Ferrer Guardia	Francisco Ferrer Guardia	Francisco Ferrer Guardia	Q354202
19597	LOC	Barcelona	Barcelona	Barcelona	
19601,19602	LOC	Buenos Aires	Buenos Aires	Buenos Aires	
19621	LOC	París	París	París	
19626,19627,19628	PER	Alfonso XIII .	Alfonso XIII	Alfonso XIII de España	Q18363
19631	PER	Maura	Maura	Maura	
19636,19637	PER	Martin Ocampo	Martin Ocampo	Martin Ocampo	Q96676731
19687,19688,19689,19690	ORG	COMPANIA NACIONAL DE MUJERES	COMPANIA NACIONAL DE MUJERES	Compania Nacional de Mujeres	
19708	PER	Ocampo	Ocampo	Martin Ocampo	Q96676731
19716,19717	PER	J. Abraham	J. Abraham	J. Abraham	
19719,19720,19721,19722	PER	J. E. del Rosario	J. E. del Rosario	J. E. del Rosario	
19743,19744,19745	ORG	Gobierno de Malolos	Gobierno de Malolos	Gobierno de Malolos	
19790	LOC	Cuba	Cuba	Cuba	
19810,19811	LOC	Santa Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
19813	LOC	Manila	Manila	Manila	
19822,19823,19824	MISC	Virgen Ntra .	Virgen Ntra .	Virgen Ntra.	
19826,19827,19828	MISC	Sra. del Pilar	Sra. del Pilar	del Pilar	
19873,19874	PER	Patrich Shao	Patrich Shao	Patrich Shao	
19877	ORG	Guías	Guías	Guías	
19887,19888	LOC	Dumas .	Dumas .	Dumas.	
19890	LOC	Cebú	Cebú	Cebú	
19894,19895	PER	Catalino Doranila	Catalino Doranila	Catalino Doranila	
19901,19902	PER	Emilio Gerona	Emilio Gerona	Emilio Gerona	
19917,19918	PER	Sergio Osmeña	Sergio Osmeña	Sergio Osmeña	Q319950
19923	LOC	Manila	Manila	Manila	
19926,19927,19928,19929	PER	E . B. Williams	E . B. Williams	E. B. Williams	
19937	LOC	Parang-parang	Parang-parang	Parang-parang	
19939	LOC	Mindanao	Mindanao	Mindanao	
20007,20008	PER	Basilio Martinez	Basilio Martinez	Basilio Martinez	
20011	PER	Williams	E . B. Williams	E. B. Williams	
20032	LOC	Sexmoan	Sexmoan	Sexmoan	
20034	LOC	Pampanga	Pampanga	Pampanga	
20045,20046	PER	Estanislawa Magat	Estanislawa Magat	Estanislawa Magat	
20111,20112,20113	PER	Felix de Jesus	Felix de Jesus	Felix de Jesus	
20122	LOC	Bilibid	Bilibid	Bilibid	
20133	LOC	Samar	Samar	Samar	
20146,20147	PER	Juan Caspe	Juan Caspe	Juan Caspe	
20151,20152	PER	Bernabé Santos	Bernabé Santos	Bernabé Santos	
20165	LOC	Parian	Parian	Parian	
20177	PER	Santos	Santos	Santos	
20234,20235	LOC	Nueva York	Nueva York	Nueva York	
20239,20240,20241,20242	ORG	El Mercantil	El Mercantil	El Mercantil	
20269	MISC	Humanidad	Humanidad	Humanidad	
20339,20340,20341	PER	Margaret T. Maguire	Margaret T. Maguire	Margaret T. Maguire	
20351	LOC	Filadelfia	Filadelfia	Filadelfia	
20370	PER	Witmer	Witmer	Lightner Witmer	Q1399152
20378,20379,20380	ORG	Universidad de Pensilsilvania	Universidad de Pensilsilvania	Universidad de Pensilsilvania	
20551	LOC	FILIPINAS	Filipinas	Filipinas	
20965,20966,20967,20968	LOC	Plaza de Santa Cruz	Plaza de Santa Cruz	Plaza de Santa Cruz	
20996	PER	Maguire	Maguire	Maguire	
21031	PER	Witmer	Witmer	Lightner Witmer	Q1399152
21072	PER	Witmer	Witmer	Lightner Witmer	Q1399152
21075,21076	PER	Charles Giman	Charles Gilman	Charles J. Gilman	Q1064991
21438	MISC	SEMANARIO	Semanario	Semanario	
21523,21524	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
21533	LOC	FILIPINAS	Filipinas	Filipinas	
21537,21538	PER	FRANCISCA GESMUNDO	Francisca Gesmundo	Francisca Gesmundo	
21548	LOC	Manila	Manila	Manila	
21566	LOC	Manila	Manila	Manila	
22096	LOC	México	México	México	
